vgen,vk,vm450_550,vm350_550,vm250_550,vm150_550,vm50_550,v50_550,v150_550,v250_550,v350_550,v450_550,v550_550,vm450_450,vm350_450,vm250_450,vm150_450,vm50_450,v50_450,v150_450,v250_450,v350_450,v450_450,v550_450,vm450_350,vm350_350,vm250_350,vm150_350,vm50_350,v50_350,v150_350,v250_350,v350_350,v450_350,v550_350,vm450_250,vm350_250,vm250_250,vm150_250,vm50_250,v50_250,v150_250,v250_250,v350_250,v450_250,v550_250,vm450_150,vm350_150,vm250_150,vm150_150,vm50_150,v50_150,v150_150,v250_150,v350_150,v450_150,v550_150,vm450_50,vm350_50,vm250_50,vm150_50,vm50_50,v50_50,v150_50,v250_50,v350_50,v450_50,v550_50,vm450_m50,vm350_m50,vm250_m50,vm150_m50,vm50_m50,v50_m50,v150_m50,v250_m50,v350_m50,v450_m50,v550_m50,vm450_m150,vm350_m150,vm250_m150,vm150_m150,vm50_m150,v50_m150,v150_m150,v250_m150,v350_m150,v450_m150,v550_m150,vm450_m250,vm350_m250,vm250_m250,vm150_m250,vm50_m250,v50_m250,v150_m250,v250_m250,v350_m250,v450_m250,v550_m250,vm450_m350,vm350_m350,vm250_m350,vm150_m350,vm50_m350,v50_m350,v150_m350,v250_m350,v350_m350,v450_m350,v550_m350,vm450_m450,vm350_m450,vm250_m450,vm150_m450,vm50_m450,v50_m450,v150_m450,v250_m450,v350_m450,v450_m450,v550_m450
1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-4,0.0014,3e-4,0,0,0,0,0,0,0,7e-4,0.154,0.9192,0.1518,4e-4,0,0,0,0,0,0,0.0023,0.9588,0,0.9088,0.0023,0,0,0,0,0,0,7e-4,0.1663,0.9291,0.1515,2e-4,0,0,0,0,0,0,0,3e-4,0.0017,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0031,6e-4,0,0,0,0,0,0,0,6e-4,0.2215,1.3723,0.2386,6e-4,0,0,0,0,0,0,0.0026,1.3763,0,1.4231,0.0029,0,0,0,0,0,0,0.0011,0.2284,1.3809,0.2299,3e-4,0,0,0,0,0,0,0,0.001,0.0031,6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,1e-4,1e-4,0,0,0,0,0,0,0,0.0015,0.0592,0.1799,0.0597,0.0013,0,0,0,0,0,0,0.057,3.781,15.3788,3.6704,0.0544,0,0,0,0,0,1e-4,0.1702,15.5883,0,15.3975,0.1729,3e-4,0,0,0,0,0,0.0559,3.8226,15.8402,3.7429,0.0557,0,0,0,0,0,0,5e-4,0.0559,0.1794,0.053900000000000003,8e-4,0,0,0,0,0,0,0,1e-4,5e-4,1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-4,1e-4,0,0,0,0,0,0,0,0.0019,0.0816,0.2628,0.0865,0.0027,0,0,0,0,0,0,0.0757,5.525,22.9754,5.4599,0.083,1e-4,0,0,0,0,4e-4,0.2733,23.0356,0,22.4669,0.2737,2e-4,0,0,0,0,0,0.085,5.6584,22.9153,5.3936,0.0808,1e-4,0,0,0,0,0,0.0013,0.0838,0.2731,0.0827,0.0023,0,0,0,0,0,0,0,1e-4,9e-4,1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-4,0,0,0,0,0,0,0,0,9e-4,0.0121,0.0267,0.0145,0.001,0,0,0,0,0,4e-4,0.1059,2.1149,5.6378,2.0673,0.0994,3e-4,0,0,0,0,0.0102,2.155,64.7828,209.2409,63.1729,2.027,0.0101,0,0,0,0,0.0292,5.7668,210.0036,0,205.5163,5.5068,0.029,1e-4,0,0,0,0.0095,2.1055,64.0645,207.128,62.5428,2.0581,0.0111,1e-4,0,0,0,0.0014,0.1047,2.0517,5.6737,2.0239,0.0997,9e-4,0,0,0,0,0,5e-4,0.0086,0.0282,0.0126,8e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-4,0.0023,6e-4,0,0,0,0,0,0,0,5e-4,0.1942,1.0958,0.1758,1e-4,0,0,0,0,0,0,0.002,1.0724,0,1.0846,0.0023,0,0,0,0,0,0,2e-4,0.1824,1.0327,0.1726,2e-4,0,0,0,0,0,0,0,8e-4,0.0023,3e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-4,0.0057,7e-4,0,0,0,0,0,0,0,6e-4,0.2594,1.6105,0.2698,4e-4,0,0,0,0,0,0,0.0037,1.581,0,1.6488,0.0028,0,0,0,0,0,0,7e-4,0.2625,1.6379,0.2886,0.0012,0,0,0,0,0,0,0,0.001,0.0035,6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-4,2e-4,2e-4,0,0,0,0,0,0,0,0.0016,0.0759,0.2495,0.0792,0.0016,0,0,0,0,0,2e-4,0.0692,4.9663,21.0682,5.1728,0.0779,1e-4,0,0,0,0,3e-4,0.2303,20.8731,0,21.0775,0.2522,5e-4,0,0,0,0,3e-4,0.0764,5.0017,20.9594,5.1197,0.0784,2e-4,0,0,0,0,0,0.0021,0.0747,0.2402,0.0754,9e-4,0,0,0,0,0,0,0,0,2e-4,1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-4,0,7e-4,1e-4,0,0,0,0,0,0,0,0.0024,0.1093,0.3628,0.1162,0.0029,0,0,0,0,0,1e-4,0.1052,7.602,31.0891,7.315,0.1159,2e-4,0,0,0,0,7e-4,0.345,31.2364,0,30.1777,0.3458,8e-4,0,0,0,0,0,0.1143,7.4969,30.726,7.3924,0.1061,3e-4,0,0,0,0,0,0.0025,0.1111,0.3529,0.1053,0.002,0,0,0,0,0,0,0,1e-4,0.001,3e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0.0212,0.0502,0.0182,9e-4,0,0,0,0,0,0.0018,0.167,3.3267,8.8371,3.1815,0.1524,0.0012,0,0,0,0,0.0206,3.2919,99.9288,321.2727,97.2853,3.1801,0.0144,0,0,0,0,0.0428,8.8227,326.3309,0,327.4711,8.8263,0.038,0,0,0,0,0.0188,3.2174,99.9969,330.6133,102.2283,3.2621000000000002,0.0206,0,0,0,0,0.0012,0.1545,3.2017,9.0762,3.3342,0.1611,6e-4,0,0,0,0,0,0.001,0.0163,0.0484,0.0178,7e-4,0,0,0,0,0,0,0,0,1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
